,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
0,0,0,1,2018-09-30,11,5057,11,4,0,40.2,8.3,-1.385726,-0.190195527,-2.320427715,1.454755235,1.701468917,-2.634194463,0,2,6,2,15.59516553,2,6,2018,9,0.131769285,0,11
1,0,0,1,2018-09-30,11,5057,6,5,1,68.3,11.8,0.652003159,0.194162862,0.412800413,0.040870403,-1.325377961,1.156693104,1,5,7,4,15.49717036,1,6,2018,9,0.068565719,0,10
2,0,0,1,2018-09-30,11,5057,8,5,1,6.8,2.2,-0.87629371,-0.432948195,0.700508637,1.643153166,0.862988449,0.551052508,1,1,2,5,15.96325839,11,4.666666667,2018,9,0.227096528,0,9
3,0,1,0,2018-09-30,11,5057,4,4,1,66.4,10.6,-0.87629371,0.720126975,1.995195645,0.210015924,0.506774574,0.816097677,0,10,4,3,15.73925239,3,5.333333333,2018,9,0.101925611,0,8
4,1,0,0,2018-09-30,11,5057,9,4,1,23.6,3.8,1.161435448,0.093015918,0.268946301,0.727341631,0.859280226,2.010973438,0,4,4,6,16.04007051,12,3.333333333,2018,9,0.193922907,0,7
5,0,0,1,2018-09-30,11,5057,12,3,1,12.4,3.4,-0.87629371,-0.008131027,0.412800413,0.991717284,1.50072284,0.20001414,0,10,2,3,15.90936946,9,4.333333333,2018,9,0.280201316,0,6
6,0,1,0,2018-09-30,11,5057,7,3,1,5.9,1.6,-1.385726,-0.432948195,-0.594178371,1.260014455,0.286825892,0.472289085,0,8,7,11,15.81164993,5,4.666666667,2018,9,0.489240646,0,5
7,0,0,1,2018-09-30,11,5057,3,3,1,4,1.9,-0.112145276,0.072786529,0.556654525,0.693006882,0.814840411,1.175591741,0,5,1,12,15.90727267,8,4.333333333,2018,9,0.431365013,0,4
8,0,1,0,2018-09-30,11,5057,10,3,1,8.5,2.1,-0.621577566,-0.14973675,-0.450324259,1.260014455,0.59425929,0.638971501,1,12,1,9,15.88059635,7,2.333333333,2018,9,0.367238015,1,3
9,1,0,0,2018-09-30,11,5057,2,6,1,48.7,8.7,-1.385726,-0.109277972,0.125092189,0.509962538,0.488082939,1.149678553,0,5,10,10,15.8290475,6,5.666666667,2018,9,0.124418028,1,2
10,0,1,0,2018-09-30,11,5057,1,3,1,2.7,1.4,-0.366861421,0.23462164,-1.025740707,0.683654252,1.351577936,0.816097677,1,4,2,10,15.93182786,10,3,2018,9,0.561442971,1,1
11,1,0,0,2018-09-30,10,2211,7,7,0,18.2,3.1,-0.87629371,0.295309807,-1.169594819,-0.377166754,-0.213101636,-0.761192765,1,4,4,6,15.31917593,7,5.666666667,2018,9,0.148088187,0,11
12,0,1,0,2018-09-30,10,2211,9,4,0,20.8,4.6,-1.385726,-0.271113083,-1.025740707,0.314184675,-0.213101636,-0.337184309,0,2,6,2,15.48234789,9,1.333333333,2018,9,0.207282469,0,10
13,0,1,0,2018-09-30,10,2211,11,5,0,93.2,11,-0.87629371,0.254851029,0.556654525,-0.873254554,-0.333763726,-0.184072772,0,12,1,9,15.31248774,6,4.333333333,2018,9,0.073452868,0,9
14,1,0,0,2018-09-30,10,2211,8,5,0,17.9,2.7,-1.385726,0.093015918,0.268946301,-0.585371465,-0.625930912,-0.359505895,1,5,1,12,15.28680522,5,4.333333333,2018,9,0.180709034,0,8
15,0,1,0,2018-09-30,10,2211,5,4,0,29.5,5.7,-1.385726,0.659438808,-0.162616035,-0.925082998,-0.519169452,-0.752365823,0,10,6,7,15.19537783,2,6,2018,9,0.169960037,0,7
16,1,0,0,2018-09-30,10,2211,1,6,0,11.6,3.6,1.161435448,0.639209419,-0.018761923,1.90845554,-0.732043366,1.923032816,0,5,7,4,15.96928292,12,3.333333333,2018,9,0.237225905,0,6
17,0,1,0,2018-09-30,10,2211,2,6,0,62.7,9.1,-1.385726,-0.210424916,-1.169594819,1.311570527,-0.182806759,1.61845052,1,8,8,11,15.91727551,11,4,2018,9,0.096846804,0,5
18,0,1,0,2018-09-30,10,2211,4,4,0,72.5,19.3,-0.87629371,0.113245307,-0.594178371,-0.792320094,-0.808279846,-1.06095557,1,10,2,3,15.12800897,1,8.666666667,2018,9,0.047367658,0,4
19,0,1,0,2018-09-30,10,2211,6,3,0,5.4,1.7,-0.87629371,0.517833085,-0.018761923,-0.676034838,-0.393786172,-0.515320812,1,9,3,4,15.28464677,4,3,2018,9,0.481828421,1,3
20,0,1,0,2018-09-30,10,2211,10,4,0,4,1.4,-0.87629371,0.153704084,0.125092189,-0.076572743,2.632428849,-0.275031387,0,1,9,2,15.84810623,10,1.666666667,2018,9,0.531583011,1,2
21,1,0,0,2018-09-30,10,2211,3,4,0,2,1.2,-0.87629371,-0.190195527,0.700508637,0.114672224,-0.357797291,-0.223545575,0,10,4,3,15.44846197,8,1.333333333,2018,9,0.778004229,1,1
22,1,0,0,2018-09-30,8,260,11,6,1,51.4,7.3,0.142570869,0.194162862,1.275925085,0.008168561,-0.863780251,-1.127931972,0,3,2,4,15.22786094,5,4.333333333,2018,9,0.118517943,0,12
23,0,1,0,2018-09-30,8,260,10,4,1,41.7,5.3,-0.87629371,0.072786529,0.556654525,0.026023383,-0.77899768,-0.369063648,0,12,1,9,15.35300005,6,2,2018,9,0.173204064,0,11
24,1,0,0,2018-09-30,8,260,1,3,1,10.1,2.2,-1.385726,0.962879642,-0.881886595,-0.172921592,-1.011881638,-0.898900475,1,12,7,1,15.21294003,4,2.666666667,2018,9,0.365216345,0,9
25,1,0,0,2018-09-30,8,260,4,4,1,82.8,11.2,-0.87629371,0.194162862,0.268946301,-1.051117987,-0.837512715,1.191806035,1,10,4,3,15.4127792,7,5.666666667,2018,9,0.072705746,0,8
26,1,0,0,2018-09-30,8,260,12,5,1,66.1,9.4,0.397287014,0.679668197,0.125092189,-0.588303525,-1.011881638,-1.231301803,0,1,2,5,15.10362919,1,7.333333333,2018,9,0.087826461,0,6
27,0,0,1,2018-09-30,8,260,7,4,1,51.3,7.5,-0.87629371,0.173933473,0.844362749,0.008168561,1.056862839,2.062462613,1,5,7,4,15.97060171,10,3.333333333,2018,9,0.098050982,0,5
